block_id,image,rectified,vis,class_id,format_len,strategy,angle_est,error
n00039,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00039.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00039_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00039_poly.jpg,86,4,Hough,-5.088,
n00040,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00040.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00040_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00040_poly.jpg,86,4,Hough,-0.896,
n00041,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00041.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00041_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00041_poly.jpg,86,4,Hough,0.006,
n00042,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00042.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00042_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00042_poly.jpg,86,4,Hough,0.686,
n00043,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00043.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00043_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00043_poly.jpg,86,4,Hough,18.228,
n00044,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00044.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00044_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00044_poly.jpg,86,4,Hough,0.999,
n00045,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00045.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00045_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00045_poly.jpg,86,4,Hough,-0.606,
n00046,,,,,,,,Imagem não encontrada para blocos 'n00046' / 'sgf0f58'
n00047,,,,,,,,Imagem não encontrada para blocos 'n00047' / 'ppg4c38'
n00048,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00048.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00048_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00048_poly.jpg,86,4,Hough,-5.051,
n00049,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00049.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00049_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00049_poly.jpg,86,4,Hough,-1.895,
n00050,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00050.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00050_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00050_poly.jpg,86,4,Hough,-6.850,
n00051,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00051.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00051_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00051_poly.jpg,86,4,Hough,0.320,
n00053,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00053.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00053_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00053_poly.jpg,86,4,Hough,2.738,
n00054,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00054.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00054_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00054_poly.jpg,86,4,Hough,3.148,
n00055,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00055.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00055_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00055_poly.jpg,86,4,Hough,-1.850,
n00056,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00056.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00056_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00056_poly.jpg,86,4,Hough,-0.456,
n00058,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00058.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00058_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00058_poly.jpg,86,4,minAreaRect,90.000,
n00059,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00059.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00059_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00059_poly.jpg,86,4,Hough,2.582,
n00062,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00062.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00062_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00062_poly.jpg,86,4,Hough,-0.563,
n00065,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00065.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00065_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00065_poly.jpg,86,4,Hough,-9.160,
n00066,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00066.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00066_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00066_poly.jpg,86,4,Hough,0.529,
n00067,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00067.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00067_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00067_poly.jpg,86,4,Hough,-4.304,
n00069,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00069.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00069_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00069_poly.jpg,86,4,Hough,-18.012,
n00070,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00070.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00070_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00070_poly.jpg,86,4,Hough,-1.037,
n00071,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00071.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00071_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00071_poly.jpg,86,4,Hough,3.899,
n00072,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00072.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00072_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00072_poly.jpg,86,4,Hough,-10.532,
